Demographic Variables,accuracy_original,accuracy_augmented,odds_original,odds_augmented,odds_ratio,accuracy_parity
Arab,0.5,0.5,1.0,1.0,1.0,0.0
Asian,0.5,0.5,1.0,1.0,1.0,0.0
Black,0.5,0.5,1.0,1.0,1.0,0.0
Female,0.5,0.5,1.0,1.0,1.0,0.0
High,0.5,0.6666666666666666,1.0,1.9999999999999998,0.5000000000000001,0.16666666666666663
Low,0.5,0.6666666666666666,1.0,1.9999999999999998,0.5000000000000001,0.16666666666666663
Male,0.5,0.5,1.0,1.0,1.0,0.0
Middle,0.5,0.6666666666666666,1.0,1.9999999999999998,0.5000000000000001,0.16666666666666663
Other,0.5,0.5,1.0,1.0,1.0,0.0
White,0.5,0.5,1.0,1.0,1.0,0.0
